Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Yui Kiddo,1215044244763582514,1338599339819536384,6b2235a1-c65b-4118-b98f-15812a0d44c7,https://i.imgur.com/HdUMgaQ.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1324820892655812809,[You want a piece of me?!](https://docs.google.com/spreadsheets/d/1H2s4CP3l2_ZvRRVxXnan6HPWnKjyTVStMUPd3G0YchI/edit?usp=sharing),"Chimerist 2
Invoker 7
Weaponmaster 1",#b30000,10,Secura - Terra,,"Yui has done everything she can to get away from being perceived as cute. Primarily this consists of body mods to make her teeth sharp with tusks that jut from the lower jaw, horns on her head, and red skin to make her look more a monster than a human. However she also carries herself with a tough no nonsense sort of attitude, standing at an impressive 6'1"" and giving off a cool defiance to anyone who deals with her. She keeps her hair chopped short and dyed in an androgynous way.

Even through all the toughness she still likes to appear somewhat feminine, she prefers dresses, and can often be seen wearing feminine accessories. Though she draws attention away from them with tougher looking clothing like, belts, chains, and leather. Despite the façade, she can't always hide her gentler side, she sometimes lights up when she sees something she finds cute, though these moments are brief.",Elemental Soul,Mirror Snowflake,,"- Yui never saw her dad and was raised by her mom, sometime in middle school her mom was arrested by a corporate security company for crimes she didn't commit.
- From there Yui grew up on the mean streets struggling to survive and harboring a hatred anybody who would pray on the weak.
- She started standing up for people against corpos and criminals, becoming known as a street tough private investigator.
- Not wanting to appear weak (or cute) she took on body mods to make herself appear more like a monster.
- Through her adventures she learned she had some kind of connection to the world itself, particularly the electricity that buzzed around the city. But this also seemed to include animals and other things as well.
- Eventually she was summoned to the Worldhelm where she's been spending most of her recent time.",Anger
Yukari,886623433306288158,,992b5de0-dde1-4973-822e-753fb2368081,https://i.imgur.com/RK2rzaR.png,"[""I'm done running away. Come at me!""](https://discord.com/channels/1169852846083153941/1170111183869706362/1365742337589772328)","[""Can't get your eyes off of me, huh?""](https://docs.google.com/spreadsheets/d/15mxbbEZDuEwFXUf6gSAhXQshmBuFNtz1gruUPibzzdc/edit?usp=drivesdk)","Rogue ★
Dancer 4
Elementalist 1",,15,"Hidden Lights Village, Adistir",,"Standing a humble two and a half feet from paw to shoulder, Yukari is a white-furred red fox with a blue-gray pattern in her coat, piercing violet eyes, and an ever-present smirk that gives the air of someone who knows something you don't. Most often, she is seen wearing a pair of brass chimes as well as a brightly colored, intricately patterned sash, both tied together with braided cord. Tied to her outfit is an amulet depicting the Fox and Hound of Aldistir, as well as a wooden mask that once belonged to her mentor, Köll Akihiko Vol.

Tied to her back is a shimmering steel sword, with a wave-shaped blade that evokes the image of a lighting strike-- the Naruikazuchi, one of the storied Seven Blades of Thunder, prophesized to strike down the Fox and the Wolf.",The Beast Who Spoke,"- Naruikazuchi - Custom Heavy - Anomaly (Currently cannot wield it)
- Heaven & Hell Bangles - Custom Transforming (Brawling/Arcane) - World Saver
- Fox & Hound Amulet - Accessory - Weapon Up (Melee)
- Vulpine Mask - Accessory - Anti-Status (Enraged)",,"- Raised by Kuzonoha priests to become a shrine guardian; shirked duty and snuck out often

- Met, healed, and befriended an Ald lad named Jesper-- the two became very close over time

- Brought Jesper to her village in secret for a festival. The next day, he was strong-armed into bringing raiders to her door.

- Was exiled for treason, spent two years wandering the snowfields alone

- Witnessed Ragnarok, thought about fleeing, but chose to stay and help civillians to safety. For that act, became a Goldhearted and was brought to the Worldhelm

- Met the Band of the Branded, trained under Köll, and inherited Brandr's dream of a kinder Aldistir-- as well as the legendary Naruikazuchi (which currently won't let her draw it)

- Sought out Jesper, forgave him, and helped him reach the Sunfire Citadel. Learned of the war between her village and his camp in the process.",Defiance
Yuki-Na,322198528975962112,1284825690570756096,c8b015e2-15e2-4f4b-8677-93de2debda43,https://media.discordapp.net/attachments/1023826663429132308/1222623689770795129/IMG_1407.jpg?ex=663b254a&is=6639d3ca&hm=23d14b9b2b04fdef88f96fb71381d18d750e68dcc373f925f3d3d407d2a430df&,,https://docs.google.com/spreadsheets/d/1N0JBzScC_XcvM_ZMogm2oWoxnl4MghsJjsXn_iu9rwk/edit?usp=sharing,"Invoker 2, Floralist 5, Esper 1",,8,Farwood (Aldistir),,"Standing at 7'3"" to the top of her head, and upwards of 9' with her 'horns', Yuki-Na cuts an imposing figure.
Somewhat fox-like in appearance, by day her soft white fur flows across her pelt like snowdrifts and down to a long but flat, fluffy tail, while at night, the fur shifts to an onyx black.
From her head sprouts horn-like tree branches, their appearance shifting with her mood and goals: at times, the branches spring with eternally falling cherry blossoms, while at others, they alight with a ghostly blue fire.",The Beast Who Spoke,,,,Duty
Yunalesca,113527988775104512,1326505623625666560,00399d96-f426-40e8-bb2d-57c6a3709427,https://i.imgur.com/hvYJws6.png,https://ptb.discord.com/channels/1169852846083153941/1170111183869706362/1312566236156264478,[Yuna](https://docs.google.com/spreadsheets/d/1dmsKcYz9I9M-Q3nbcg5GEOaHXhwShm7oHzxc3_IJpug/edit?gid=1250693187#gid=1250693187),"Dancer²
Orator¹
Fury²
⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ★",,5,"Idyll, Paradise",,"Yuna is a young woman of average height with a lithe, athletic build, suggesting agility and quickness over brute strength.",,,,,Joy
Yuri Sokolov,168733228914573312,1179412203875598336,a7607c47-e34a-49f4-8e93-2e15b2e6c28c,https://images-ext-1.discordapp.net/external/3iHhDrsT3RukZLWlaa0tR96hlVvYHF8HjA_E7nRaduk/https/gbf.wiki/images/b/bf/Nighthound_gran.png,,https://docs.google.com/spreadsheets/d/1HqERPiukmDtxvp3wxax8EVCqYWd-kBVPNrJMSxeJeu0/edit?usp=sharing,"Sharpshooter 1, Rogue 4",,5,"Suntower City, Merrane, Lhodos",,"Yuri Sokolov is tall, sports a lithe frame with short brown hair and brown eyes. He has a state of the art combat attire, and an experimental bow. His demeanor is distant, he clearly has trouble making friends.",Heirloom (Magitech Bow),,,,Guilt
"Yuruzu ""The Cobalt Scar"" Eiji",283019070578753536,1339332429852180480,2e56f725-bd08-4ff2-9046-9e12c6079259,https://cdn.discordapp.com/attachments/1094024025291898941/1339332273803362335/Haha.png?ex=67ae55e1&is=67ad0461&hm=be5f75edea81a0f96ccc14916c88e5ef9bcb40e50c4f8384b7c0f55ec904cd5c&,https://discord.com/channels/1169852846083153941/1170111183869706362/1306172998952288278,https://docs.google.com/spreadsheets/d/1_8aktEs94aRRGLFGs56B00Hq4L5h95ScF-cuaRkUF8I/edit?usp=drivesdk,"Weaponmaster 10
Esper 2
Entropist 5
Arcanist 1",,18,"Silver Rock, Haven, Terra",,"A broad and heavy body individual, a physique showing some time both honing oneself along with his fair share of fights. Standing well over 6 foot, despite his wolf like appearance he looks put together and profesional. Dressed usually in a white overcoat that resembles a modernized Hakama. His weapon of choice an augmented blade with multiple hilts that resemble Tengu masks. His two most striking features are his sharp eye, the other covered with an eyepatch. The color of them ranging from a piercing turquoise to an even sharper red. The second are his wolf augments throughout his body.",Fugitive Experiment,N/A,,"- Son of a ""Japanese"" Mom and Dad, has a younger sister.
- Dad became an Insolvent when medical bills couldn't be paid/mom got swindled by loan sharks and his dad passed away.
- He's now working as a temp to become a legendary temp and effectively have his family never worry about expenses again.
- Got augments done to have his body and mind keep up with the work of being a temp for 100gs though is willing to work for all companies save for Tubal & Cain.
- Despite being a temp, he behaves like an honorable samurai and not just a lawless merc.
- Has begun to study Cultivation and master his newfound ""Dao of Cut"".
Training to become a Master Swordsman.",Honor
Zahn Rimebow,551551870473076740,1191165775004832000,52bd7826-24b2-4739-98a3-3c9eaba2fd74,https://images-ext-1.discordapp.net/external/IRxhmBvFfMswyVM5N4I3J9LP3GCqKQbn8pzHFesAOU4/https/i.imgur.com/DeFSeSv.jpg,,https://drive.google.com/file/d/15srXXzGeus8WLpU39yvwMiShIPRuL4WU/view?usp=sharing,"2 Sharpshooter
3 Elementalist",,5,Dark Elf from Kor'Tarion,,"Stands at around 6' 9''. Lean Body with Ashey Grey Skin and Bluish Silver Hair, His eyes are icey-blue. His outfit would comprise of Regal Looking Dark Teal robes with moon iconography on them. With his bow appearing to be made of ice.",,,,,Survival
Zaid al Thuaban'n,465582019150217226,1363631423637946368,031044f7-5920-44a5-aaff-231eccb6cd2a,https://i.imgur.com/C4KLZGf.jpeg,https://discord.com/channels/1169852846083153941/1170111183869706362/1314624587815850085,[Do you have a moment to talk about our lord and saviour Falak-khan?](<https://docs.google.com/spreadsheets/d/1dub-wkUATXXjPtzFAebbdlr3UCLaeT-4tPHH4wVtNNc/edit?gid=1773856997#gid=1773856997>),"Chanter 10, Mutant 3, Dancer 2, Symbolist 2",#ecd321,17,"Endless Sand Dunes, Nezmira",,"Zaid is a white-haired, dark-skinned human in his mid-twenties. Around 6ft tall and lean. He has long white hair and wears distinctly Nezmiran clothing, under which he hides the religious tattoos of his family; golden scales on his arm, and a golden winged serpent above his covered eye. He manifests aspects of the serpent god Falak-khan through bodily transformation, symbols and prayers.","Heirloom - Relic of The Serpent Who Dreamt of Sky, Air vuln and Earth immunity",,,"- Travels around the sand dunes of Nezmira with his family's caravan. They are aspirants who revere the god Falak-khan.
- As the scion of his family, Zaid inherits the heirloom 'Relic of The Serpent Who Dreamt of Sky'.
- Through worship and the trials of life on the dunes, Zaid has grown into a capable adventurer to help serve and venerate the god.
- Part of his family lineage is trapped in servitude in Zalfira. Zaid seeks an end to slavery in Nezmira, and to reignite the worship of Falak-khan in the realm.",Ambition
Zamitra,298485047919378432,1206216982303608832,c56c8101-e915-4bdc-ad5b-9ef4fcfefbab,https://media.discordapp.net/attachments/648280741700042755/1193269893466959992/final_image-removebg-preview.png?ex=663b24f0&is=6639d370&hm=5c00dd50c570800cba0d51ca12840cc16b144dce5e7f97c3a59f626c87993670&,,https://docs.google.com/spreadsheets/d/1O2XkxUBxFSidOvA-iNWoBg_rF5gYNGBeh20hx6bFmTw/edit?pli=1#gid=0,"Ace of Cards [3]
Weaponmaster  [2]
Tinkerer [1]",,6,Skamos | Nezmira,,"a very tall man 215cm/7,0 feet tall and weighing 80 kg/ 176 pounds. He is clad in armor made from bugs material and a sword taller than him. He has red eyes dark hair.",,,,,Gifted soldier from the desert
"Zecht, Celebrant of Steel",555561965951647754,1234246084407197696,82539ea3-6015-4451-9ad6-e7ca9b0c0d5f,https://images-ext-1.discordapp.net/external/YBWVbiAwILHuex2Utoe_tmljQP743WyVyI6269HcS_Y/https/i.imgur.com/1zkKwls.png,,https://docs.google.com/spreadsheets/d/1yN0gsExPkllRq4FDG-u9bf6XMhbTRGoLeESueBs61ks/edit#gid=0,"Darkblade 1, Arcanist 1, Weaponmaster 4",,6,Lhodos - Karlsgard: Bastion,,"A man of a slightly muscular build with silver hair, standing at 6ft 2 inches. He wears vaguely eastern clothing while sporting a single prosthetic leg and eye patch.",,,,,Hope
Zexis,230476027854323713,1292948652167401472,c52cfd02-624e-47df-9038-5f0e9861af02,https://cdn.discordapp.com/attachments/626949017406013460/1242018948451401769/image.png?ex=664c4fc8&is=664afe48&hm=6e66699b4953ad1762fa79dbfe1a07eb47e24817963700a3a9313d98d9744e6f&,,https://docs.google.com/spreadsheets/d/127F385-mnJUYWpMkOHE4G0SMSCwE1gFDTjTwJamE1zA/edit#gid=0,"Guardian 10
Chimerist 2
Fury 2
Esper 1",,15,Nezmira,,"Taller than most Nezzim, Zexis stands at six feet and nine inches tall. With a bulk to match his broad shoulders, one could say Zexis might be a bodybuilder at first, suggesting he has a routine of rigorous exercise. His body is covered in pearlescent-white scales with horns to match. Dark markings frame his shimmering teal eyes, bringing to mind a likeness of eyeshadow.",,,,,Resolve
Zhao Tao | Schifer,187711177906847745,1247305005988450304,04264cea-9b9c-4894-aeab-d89536456294,https://i.imgur.com/wGuA8AO.jpeg,,https://docs.google.com/spreadsheets/d/1wbVYOi8aNxet_aCHfUalkDZBeMlmjH3f_wMYgti0x7g/edit#gid=0,"Mutant 3
Weaponmaster 1
Fury 1",,5,Leytik,,"An old, short and bald human wearing martial arts garb covering most of his scarred body.",,,,,Mercy
Zid Galloway,444194335492276225,1238821658513641472,38570d8f-21b8-4332-8281-d0e26b1ac532,https://images-ext-1.discordapp.net/external/rJCgVmmoazeb7LqFd4A3uogxdNvFs82mCVaxHQTnu1Y/https/i.imgur.com/0dpTLf4.png,,https://docs.google.com/spreadsheets/d/1al-TnU_udQiRTq_lLRfCPfiqX5yo_lBIH1YSfSD0T38/edit#gid=0,"Tinkerer 5, Sharpshooter 2",,7,Realm of Nezmira,,"6'2, Scrawny, Dark skin and pink hair. His figure is very lanky and also pencil thin, his hands are calloused but his skin is near perfect with only a few blemishes here and there. He always wears a smile on his face",,,,,Discovery
Zmeika,113527988775104512,1326505349775364096,e1a5ac22-319f-43be-99fc-5e02ee0dd832,https://i.imgur.com/ENcxzcA.png,https://ptb.discord.com/channels/1169852846083153941/1170111183869706362/1307815528106168463,[Zmeika](https://docs.google.com/spreadsheets/d/1dmsKcYz9I9M-Q3nbcg5GEOaHXhwShm7oHzxc3_IJpug/edit?gid=413972919#gid=413972919),"Arcanist⁴
Weaponmaster¹
Mutant¹
⁰ ¹ ² ³ ⁴ ⁵ ⁶ ⁷ ⁸ ⁹ ★",,6,"Kor'Tarion, Balefire Isles",,"Refer to Bio, Otherwise as Picture dipicts.",Fugitive Experiment,,,,Growth
Zophiel,106596968976957440,1350199650677686272,4887cae8-a6fe-454c-9dd2-fd8db7130bbe,https://i.imgur.com/mTS07kl.jpeg,https://discord.com/channels/1169852846083153941/1170111183869706362/1331684411992703101,https://docs.google.com/spreadsheets/d/1Ryyx008JSgYVmxlxY4S0hxlFR5BoPJWafZkq19yWWjY/edit?usp=sharing,"Tinkerer ★
Fury ★
Weaponmaster 5
Spiritist 4
Guardian 1",#DA422D,30,Kor'tarion - Brightshield,,"A crusader from Brightshield with stark white hair. She stands at just over 5'5, with a trained, military posture, though her smile cuts through the severity.

She has small scar under her bangs where she once once burned by demonfire, but the other wounds have since healed.

She has an odd habit of putting her hand on her own right shoulder when troubled or afraid.",,,,"- A fleeing survivor of the Night of the Red Sky in Dryholde. Her single father who raised her was killed by demons. Her mother is alive, though she is unknown to Zophiel.
- Zophiel was lost until reaching Brightshield, at which point she enlisted as a Crusader.
- Became a Goldhearted, following the sense of purpose she felt, believing this was what her father's spirit wanted for her.
- Her faith in the King was shattered by fellow Goldhearted who convinced her of his current ""condition."" Between this and some key experiences with a particular demon, she has become critical of the crusade and her own role in it.",Faith
